sample_id,field_ID,water_factor,skeleton,fine_earth_kgdm3,fine_earth_g,bulkdensity_gcm3,soil_moisture,class,road_class,urbimpact,profile_info,P_HNO3total_40_gkg,P_HNO3total_105_gkg,P_total_HNO3_gm2,P_HNO3total_105_mgkg,p_total_multiacid_40_mgkg,p_total_multiacid_105_mgkg,p_total_multiacid_105_gkg,p_total_multiacid_gm2,P_total_HNO3_gm2_pred,P_total_HNO3_gm2_filled,exch_Ca_stocks_gm2,exch_ca_105_cmolkg,ECEC_105,pH,SOCf_gkg,SOC_kgm2,C_N,farms,p_available_40_gkg,p_SOM_40_gkg,p_Ca_40_gkg,p_OCC_40_gkg,pavail_status,psom_status,pca_status,pocc_status,pavail_ge_loq,psom_ge_loq,pca_ge_loq,pocc_ge_loq,p_available_40_gkg_q,p_SOM_40_gkg_q,p_Ca_40_gkg_q,p_OCC_40_gkg_q,n_fractions_ge_loq,all4_ge_loq,frac_ge_loq_list,p_available_105_gkg,p_available_105_mgkg,p_available_gm2,p_available_gm2_lod0,p_SOM_105_gkg,p_SOM_105_mgkg,p_SOM_gm2,p_SOM_gm2_lod0,p_Ca_105_gkg,p_Ca_105_mgkg,p_Ca_gm2,p_Ca_gm2_lod0,p_OCC_105_gkg,p_OCC105_mgkg,p_OCC_gm2,p_OCC_gm2_lod0,p_avail_pct_HNO3,p_SOM_pct_HNO3,p_Ca_pct_HNO3,p_OCC_pct_HNO3,p_sum_pct_HNO3,flag_over100,p_EXT_total_gkg,p_EXT_total_gm2,p_EXT_total_gm2_lod0,p_avail_PERCENT_sumtotalP,p_avail_PERCENT_sumtotalP_lod0,p_SOM_PERCENT_sumtotalP,p_SOM_PERCENT_sumtotalP_lod0,p_Ca_PERCENT_sumtotalP,p_Ca_PERCENT_sumtotalP_lod0,p_OCC_PERCENT_sumtotalP,p_OCC_PERCENT_sumtotalP_lod0
106,aputuogya 3a,1.015,0.49,1.59,406.1668679,1.6,1.477996494,Short-duration,Low-intensity,Weak,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.9559758,3.185341958,4.5,6.19,11.91,1.9,9.89,aputuogya3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
107,aputuogya 3b,1.031,2.02,1.51,386.522749,1.55,3.145287313,Short-duration,Low-intensity,Weak,,NA,NA,NA,NA,163,168.053,0.168053,25.376003,24.23171918,24.23171918,191.9685647,6.007732124,8.09,7.3,11.11,1.68,9.33,aputuogya3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
108,aputuogya 3c,1.007,0.54,1.52,387.2115297,1.53,0.689150521,Short-duration,Low-intensity,Weak,,0.084700296,0.085284008,12.96316922,85.284008,NA,NA,NA,NA,NA,12.96316922,84.44178347,2.63793821,3.84,5.91,11.59,1.76,10.93,aputuogya3,0.003879103,NA,0.008144434,0.069269923,LOD–LOQ,NA,LOD–LOQ,>=LOQ,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,0.069269923,1,FALSE,POCC,0.003906257,3.906256721,0.593751022,0.593751022,NA,NA,NA,NA,0.008201445,8.201445038,1.246619646,1.246619646,0.069754812,69.75481246,10.60273149,10.60273149,4.580292147,NA,9.616627115,81.79119872,95.98811798,FALSE,0.081862514,12.44310216,12.44310216,4.771728255,4.771728255,NA,NA,10.01855992,10.01855992,85.20971183,85.20971183
109,asawase 1a,1.011,17.93,1.14,291.0910134,1.39,1.105835113,Short-duration,High-intensity,Mild,,0.260753607,0.263637112,30.05463077,263.637112,NA,NA,NA,NA,NA,30.05463077,112.9325125,4.692947482,6.71,6.23,15.34,1.75,10.43,asawase1,0.009269255,NA,0.024497377,0.084487294,LOD–LOQ,NA,>=LOQ,>=LOQ,FALSE,FALSE,TRUE,TRUE,NA,NA,0.024497377,0.084487294,2,FALSE,PCa+POCC,0.009371217,9.371216805,1.068318716,1.068318716,NA,NA,NA,NA,0.024766848,24.76684815,2.823420689,2.823420689,0.085416654,85.41665423,9.737498583,9.737498583,3.554589388,NA,9.394295044,32.3993286,45.34821303,FALSE,0.119554719,13.62923799,13.62923799,7.838433203,7.838433203,NA,NA,20.7159101,20.7159101,71.4456567,71.4456567
110,asawase 1b,1.014,23.47,1.18,300.6582576,1.53,1.437426813,Short-duration,High-intensity,Mild,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.6699537,4.854913668,6.8,6.13,14.47,1.7,11.59,asawase1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
111,asawase 1c,1.012,19.16,1.05,267.1878686,1.29,1.183486145,Short-duration,High-intensity,Mild,,NA,NA,NA,NA,267,270.204,0.270204,28.37142,27.0920634,27.0920634,103.9980545,4.708298419,6.64,5.95,17.38,1.82,10.55,asawase1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
112,asawase 2a,1.011,19.17,1.36,347.9841427,1.68,1.122423945,Short-duration,High-intensity,Mild,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.0295259,5.110937905,6.69,6.25,16.07,2.19,10.8,asawase2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
113,asawase 2b,1.014,4.4,1.23,312.8487739,1.28,1.368465045,Short-duration,High-intensity,Mild,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.3392348,5.658245988,7.96,6.41,16.06,1.97,10.72,asawase2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
114,asawase 2c,1.012,11.81,1.41,359.3215493,1.59,1.165655295,Short-duration,High-intensity,Mild,,0.196144815,0.198431188,27.97879751,198.431188,NA,NA,NA,NA,NA,27.97879751,130.2154509,4.383638749,5.69,6.21,9.77,1.38,10.47,asawase2,0.004304336,NA,0.029258245,0.078046204,LOD–LOQ,NA,>=LOQ,>=LOQ,FALSE,FALSE,TRUE,TRUE,NA,NA,0.029258245,0.078046204,2,FALSE,PCa+POCC,0.004355988,4.355988032,0.614194313,0.614194313,NA,NA,NA,NA,0.029609344,29.60934394,4.174917496,4.174917496,0.078982758,78.98275845,11.13656894,11.13656894,2.195213402,NA,14.92171883,39.80360106,56.92053329,FALSE,0.11294809,15.92568075,15.92568075,3.856628311,3.856628311,NA,NA,26.2150018,26.2150018,69.92836989,69.92836989
115,asawase 3a,1.016,0.04,1.42,362.6587406,1.42,1.629978462,Short-duration,High-intensity,Mild,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.6715689,4.158385785,5.78,6.87,11.13,1.58,12.24,asawase3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
116,asawase 3b,1.009,0.14,1.39,353.7754107,1.39,0.91430587,Short-duration,Low-intensity,Weak,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.97823923,3.110751973,4.3,5.6,10.31,1.43,11.65,asawase3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
117,asawase 3c,1.007,0.14,1.45,370.110171,1.45,0.748379604,Short-duration,Low-intensity,Weak,,0.129548341,0.130517854,18.92508883,130.517854,NA,NA,NA,NA,NA,18.92508883,91.66063534,2.995762257,4.3,5.84,10.13,1.47,12.13,asawase3,0.004025605,NA,0.018180366,0.052882097,LOD–LOQ,NA,>=LOQ,>=LOQ,FALSE,FALSE,TRUE,TRUE,NA,NA,0.018180366,0.052882097,2,FALSE,PCa+POCC,0.004053784,4.053784235,0.587798714,0.587798714,NA,NA,NA,NA,0.018307629,18.30762856,2.654606141,2.654606141,0.053252272,53.25227168,7.721579393,7.721579393,3.105923144,NA,14.02691509,40.80075641,57.93359465,FALSE,0.075613684,10.96398425,10.96398425,5.361178024,5.361178024,NA,NA,24.21205723,24.21205723,70.42676474,70.42676474
118,asokwa 1a,1.021,3.53,1.41,360.142809,1.46,2.101163985,Long-duration,High-intensity,Strong,,0.509045713,0.519741598,73.28356532,519.741598,NA,NA,NA,NA,NA,73.28356532,350.2016695,11.76248185,14.87,8.22,18.47,2.61,15.05,asokwa1,0.047493269,NA,0.251816538,0.097848447,>=LOQ,NA,>=LOQ,>=LOQ,TRUE,FALSE,TRUE,TRUE,0.047493269,NA,0.251816538,0.097848447,3,FALSE,PPa+PCa+POCC,0.048490628,48.49062765,6.837178499,6.837178499,NA,NA,NA,NA,0.257104685,257.1046853,36.25176063,36.25176063,0.099903264,99.90326439,14.08636028,14.08636028,9.329756909,NA,49.46779059,19.22171802,78.01926551,FALSE,0.405498577,57.1752994,57.1752994,11.95827319,11.95827319,NA,NA,63.40458381,63.40458381,24.63714301,24.63714301
119,asokwa 1b,1.011,19.72,1.14,290.3404886,1.41,1.13987251,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.441519,15.47527392,17.59,7.53,18.51,2.11,14.12,asokwa1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
120,asokwa 1c,1.057,5.42,1.17,299.702493,1.24,5.741529479,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846.0070303,34.14594356,38.41,8.02,42.08,4.94,14.8,asokwa1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
121,asokwa 2a,1.036,34.75,0.8,204.7194791,1.21,3.570994285,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.3688405,16.86175926,19.82,6.82,38.62,3.1,17.78,asokwa2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
122,asokwa 2b,1.023,46.66,0.74,189.0013726,1.37,2.274389525,Long-duration,High-intensity,Strong,,0.450830226,0.461083862,34.12020579,461.083862,NA,NA,NA,NA,NA,34.12020579,247.8064337,15.85999774,18.13,7.2,27.76,2.06,16.13,asokwa2,0.021845549,NA,0.356449711,0.279110474,>=LOQ,NA,>=LOQ,>=LOQ,TRUE,FALSE,TRUE,TRUE,0.021845549,NA,0.356449711,0.279110474,3,FALSE,PPa+PCa+POCC,0.022347997,22.34799663,1.65375175,1.65375175,NA,NA,NA,NA,0.364648054,364.6480544,26.98395602,26.98395602,0.285530015,285.5300149,21.1292211,21.1292211,4.846839907,NA,79.08497443,61.92583138,145.8576457,TRUE,0.672526066,49.76692888,49.76692888,3.322993377,3.322993377,NA,NA,54.22065744,54.22065744,42.45634919,42.45634919
123,asokwa 2c,1.038,19.52,1.15,294.5859013,1.42,3.816916796,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247.4126259,10.15933784,12.36,7.04,21.54,2.49,14.02,asokwa2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
124,asokwa 3a,1.087,21.71,1.07,272.1907083,1.34,8.651761778,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.7760653,24.47694799,28.06,7.52,32.47,3.46,9.57,asokwa3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
125,asokwa 3b,1.019,37.11,0.95,241.7342565,1.5,1.934249435,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.1792413,9.666689264,12.08,6.97,18.06,1.71,9.75,asokwa3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
126,asokwa 3c,1.05,32.04,1.05,267.8038675,1.52,5.028356256,Long-duration,Low-intensity,Moderate,,0.334276209,0.351084808,36.86390484,351.084808,NA,NA,NA,NA,NA,36.86390484,333.2670216,15.05327506,17.36,7.31,19.53,2.05,9.87,asokwa3,0.011629085,NA,0.05591031,0.208679051,LOD–LOQ,NA,>=LOQ,>=LOQ,FALSE,FALSE,TRUE,TRUE,NA,NA,0.05591031,0.208679051,2,FALSE,PCa+POCC,0.012210539,12.21053925,1.282106621,1.282106621,NA,NA,NA,NA,0.058705826,58.7058255,6.164111678,6.164111678,0.219113004,219.1130036,23.00686537,23.00686537,3.477945776,NA,16.72126625,62.41027768,82.6094897,FALSE,0.290029368,30.45308367,30.45308367,4.210104419,4.210104419,NA,NA,20.24133826,20.24133826,75.54855732,75.54855732
127,asokwa 4a,1.028,35.58,0.82,209.1684117,1.26,2.82623377,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,799,821.372,0.821372,67.352504,64.31536767,64.31536767,315.7140577,18.25800506,22.49,7.36,37.13,3.04,14.61,asokwa4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
128,asokwa 4b,1.043,37.93,0.92,233.7752895,1.45,4.348068828,Long-duration,High-intensity,Strong,,0.71681241,0.747979907,68.81415144,747.979907,NA,NA,NA,NA,NA,68.81415144,244.7279139,12.66311079,15.79,6.72,35.89,3.29,16.92,asokwa4,0.03640808,NA,0.145572795,0.128333514,>=LOQ,NA,>=LOQ,>=LOQ,TRUE,FALSE,TRUE,TRUE,0.03640808,NA,0.145572795,0.128333514,3,FALSE,PPa+PCa+POCC,0.037973627,37.97362744,3.493573724,3.493573724,NA,NA,NA,NA,0.151832425,151.8324252,13.96858312,13.96858312,0.133851855,133.8518551,12.31437067,12.31437067,5.076824536,NA,20.29899784,17.89511374,43.27093612,FALSE,0.323657908,29.77652751,29.77652751,11.73264318,11.73264318,NA,NA,46.91139056,46.91139056,41.35596626,41.35596626
129,asokwa 4c,1.028,9.55,1.19,304.2661744,1.31,2.831016487,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.5704109,17.23699135,22.87,7.85,30.35,3.62,14.3,asokwa4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
130,asokwa 5a,1.037,3.6,1.51,384.4880146,1.56,3.670331676,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.0106596,3.649812812,4.34,6.98,7.11,1.07,12.79,asokwa5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
131,asokwa 5b,1.006,2.69,1.54,392.9211802,1.58,0.646139716,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.3228466,17.21918615,18.98,7.81,14.98,2.31,11.4,asokwa5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
132,asokwa 5c,1.006,5.8,1.5,381.8537504,1.59,0.635387131,Long-duration,Low-intensity,Moderate,,0.109080172,0.109773253,16.46598795,109.773253,NA,NA,NA,NA,NA,16.46598795,114.7843074,3.63614304,4.33,7.18,6.12,0.92,11.97,asokwa5,0.007196817,NA,0.046923146,0.05004287,LOD–LOQ,NA,>=LOQ,>=LOQ,FALSE,FALSE,TRUE,TRUE,NA,NA,0.046923146,0.05004287,2,FALSE,PCa+POCC,0.007239998,7.239997902,1.085999685,1.085999685,NA,NA,NA,NA,0.047204685,47.20468488,7.080702731,7.080702731,0.050343127,50.34312722,7.551469083,7.551469083,6.595411636,NA,43.00199146,45.86101427,95.45841736,FALSE,0.10478781,15.7181715,15.7181715,6.909198601,6.909198601,NA,NA,45.04787807,45.04787807,48.04292333,48.04292333
133,asokwa 6a,1.108,24.17,0.93,238.5002516,1.2,10.83845748,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,422,467.576,0.467576,43.484568,41.52371201,41.52371201,781.3133,39.62706227,44.62,7.84,40.91,3.82,9.94,asokwa6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
134,asokwa 6b,1.09,31.48,0.74,189.0211948,1.05,8.95603542,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650.0087243,41.59720814,50.17,7.8,55.4,4.1,9.88,asokwa6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
135,asokwa 6c,1.042,13.96,1,254.0050459,1.15,4.175095826,Long-duration,Low-intensity,Moderate,,0.73441933,0.765082041,76.5082041,765.082041,NA,NA,NA,NA,NA,76.5082041,731.213453,34.82229021,39.26,7.78,40.13,3.99,9.86,asokwa6,0.03751238,0.017924062,0.013862674,0.285735297,>=LOQ,LOD–LOQ,>=LOQ,>=LOQ,TRUE,FALSE,TRUE,TRUE,0.03751238,NA,0.013862674,0.285735297,3,FALSE,PPa+PCa+POCC,0.0390879,39.08789996,3.908789996,3.908789996,0.018676873,18.6768726,1.86768726,1.86768726,0.014444906,14.44490631,1.444490631,1.444490631,0.297736179,297.7361795,29.77361795,29.77361795,5.108981503,2.441159458,1.88802057,38.91558859,48.35375012,FALSE,0.369945858,36.99458583,36.99458583,10.56584337,10.56584337,5.048542154,5.048542154,3.904600087,3.904600087,80.48101439,80.48101439
136,atonsu 1a,1.025,29.08,0.96,246.2033367,1.35,2.545320203,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.0413398,7.126123916,8.55,6.45,13.98,1.35,10.47,atonsu1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
137,atonsu 1b,1.014,16.13,1.1,281.4740452,1.31,1.430311196,Long-duration,Low-intensity,Moderate,,0.406126077,0.411934944,45.31284384,411.934944,134,135.876,0.135876,14.94636,14.2723816,45.31284384,216.3753153,9.29875619,11.33,6.6,22.67,2.5,17.3,atonsu1,0.02653794,0.016562258,0.00271225,0.191543138,>=LOQ,LOD–LOQ,<LOD,>=LOQ,TRUE,FALSE,FALSE,TRUE,0.02653794,NA,NA,0.191543138,2,FALSE,PPa+POCC,0.026909471,26.90947116,2.960041828,2.960041828,0.01679413,16.79412961,1.847354257,1.847354257,0.002750222,2.7502215,0.302524365,0,0.194224742,194.2247419,21.36472161,21.36472161,6.532456533,4.076888804,0.667634912,47.14937268,58.42635293,FALSE,0.240678564,26.47464206,26.1721177,11.18066798,11.30990569,6.977825245,7.058482155,1.142694826,0,80.69881195,81.63161216
138,atonsu 1c,1.013,20.79,1.05,266.6696435,1.32,1.25261972,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.7755491,7.247567023,8.49,7.58,9.21,0.96,12.08,atonsu1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
139,atonsu 2a,1.09,32.45,0.81,207.5554008,1.17,9.002222607,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.4493248,13.95516834,16.8,7.61,22.24,1.81,11.6,atonsu2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
140,atonsu 2b,1.022,14.15,1.01,257.7415999,1.17,2.1798577,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.1343389,7.23386477,9.29,7.13,11.18,1.13,9.5,atonsu2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
141,atonsu 2c,1.01,11.36,1.31,335.1884261,1.48,0.964106649,Long-duration,Low-intensity,Moderate,,0.794061074,0.80171667,105.0248838,801.71667,NA,NA,NA,NA,NA,105.0248838,322.8229166,11.65013195,14.1,7.9,9,1.18,11.25,atonsu2,0.081824975,0.013900411,0.372015088,0.22472295,>=LOQ,LOD–LOQ,>=LOQ,>=LOQ,TRUE,FALSE,TRUE,TRUE,0.081824975,NA,0.372015088,0.22472295,3,FALSE,PPa+PCa+POCC,0.082643225,82.64322475,10.82626244,10.82626244,0.014039415,14.03941511,1.839163379,1.839163379,0.375735239,375.7352389,49.22131629,49.22131629,0.22697018,226.9701795,29.73309351,29.73309351,10.30828319,1.751169164,46.86633732,28.31052266,87.23631233,FALSE,0.699388058,91.61983563,91.61983563,11.81650498,11.81650498,2.007385592,2.007385592,53.72342785,53.72342785,32.45268157,32.45268157
142,atonsu 3a,1.013,15.53,1.23,312.7539814,1.45,1.268095328,Long-duration,Low-intensity,Moderate,,0.536174799,0.542974007,66.78580286,542.974007,NA,NA,NA,NA,NA,66.78580286,259.5972023,10.04043809,12.21,7.56,15.37,1.88,12.26,atonsu3,0.063999325,0.018653439,0.260600875,0.333069056,>=LOQ,LOD–LOQ,>=LOQ,>=LOQ,TRUE,FALSE,TRUE,TRUE,0.063999325,NA,0.260600875,0.333069056,3,FALSE,PPa+PCa+POCC,0.064831316,64.83131623,7.974251896,7.974251896,0.018895934,18.89593371,2.324199846,2.324199846,0.263988686,263.9886864,32.47060842,32.47060842,0.337398954,337.3989537,41.50007131,41.50007131,11.94004048,3.480080715,48.61902835,62.13906179,126.1782113,TRUE,0.68511489,84.26913147,84.26913147,9.462838594,9.462838594,2.758067878,2.758067878,38.53203167,38.53203167,49.24706186,49.24706186
143,atonsu 3b,1.016,14.18,1.02,261.2016794,1.19,1.599653026,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.653925,13.83081472,17.91,6.86,26.06,2.67,9.95,atonsu3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
144,atonsu 3c,1.025,8.69,1.1,281.6138064,1.21,2.459465198,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.4516116,15.6116267,18.63,7.19,23.36,2.58,9.7,atonsu3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
145,ayeduase 1a,1.013,20,1.07,273.5120108,1.34,1.267947671,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.71334812,3.613866498,5.15,5.6,12.58,1.35,10.82,ayeduase1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
