sample_id,field_ID,water_factor,skeleton,fine_earth_kgdm3,fine_earth_g,bulkdensity_gcm3,soil_moisture,class,road_class,urbimpact,profile_info,P_HNO3total_40_gkg,P_HNO3total_105_gkg,P_total_HNO3_gm2,P_HNO3total_105_mgkg,p_total_multiacid_40_mgkg,p_total_multiacid_105_mgkg,p_total_multiacid_105_gkg,p_total_multiacid_gm2,P_total_HNO3_gm2_pred,P_total_HNO3_gm2_filled,exch_Ca_stocks_gm2,exch_ca_105_cmolkg,ECEC_105,pH,SOCf_gkg,SOC_kgm2,C_N,farms,p_available_40_gkg,p_SOM_40_gkg,p_Ca_40_gkg,p_OCC_40_gkg,pavail_status,psom_status,pca_status,pocc_status,pavail_ge_loq,psom_ge_loq,pca_ge_loq,pocc_ge_loq,p_available_40_gkg_q,p_SOM_40_gkg_q,p_Ca_40_gkg_q,p_OCC_40_gkg_q,n_fractions_ge_loq,all4_ge_loq,frac_ge_loq_list,p_available_105_gkg,p_available_105_mgkg,p_available_gm2,p_available_gm2_lod0,p_SOM_105_gkg,p_SOM_105_mgkg,p_SOM_gm2,p_SOM_gm2_lod0,p_Ca_105_gkg,p_Ca_105_mgkg,p_Ca_gm2,p_Ca_gm2_lod0,p_OCC_105_gkg,p_OCC105_mgkg,p_OCC_gm2,p_OCC_gm2_lod0,p_avail_pct_HNO3,p_SOM_pct_HNO3,p_Ca_pct_HNO3,p_OCC_pct_HNO3,p_sum_pct_HNO3,flag_over100,p_EXT_total_gkg,p_EXT_total_gm2,p_EXT_total_gm2_lod0,p_avail_PERCENT_sumtotalP,p_avail_PERCENT_sumtotalP_lod0,p_SOM_PERCENT_sumtotalP,p_SOM_PERCENT_sumtotalP_lod0,p_Ca_PERCENT_sumtotalP,p_Ca_PERCENT_sumtotalP_lod0,p_OCC_PERCENT_sumtotalP,p_OCC_PERCENT_sumtotalP_lod0
76,airport 2a,1.014,13.89,1.26,321.7766797,1.46,1.393301796,Long-duration,High-intensity,Strong,,0.381359092,0.386672575,48.72074445,386.672575,NA,NA,NA,NA,NA,48.72074445,344.5613772,12.95291544,14.5,7.92,11.22,1.41,14.55,airport2,0.046930829,NA,0.126119525,0.323381436,>=LOQ,NA,>=LOQ,>=LOQ,TRUE,FALSE,TRUE,TRUE,0.046930829,NA,0.126119525,0.323381436,3,FALSE,PPa+PCa+POCC,0.047587861,47.58786061,5.996070436,5.996070436,NA,NA,NA,NA,0.127885198,127.8851984,16.11353499,16.11353499,0.327908776,327.9087761,41.31650579,41.31650579,12.30701728,NA,33.07325283,84.80269802,130.1829681,TRUE,0.503381835,63.42611122,63.42611122,9.45363088,9.45363088,NA,NA,25.40520723,25.40520723,65.14116189,65.14116189
77,airport 2b,1.323,36.15,0.78,197.9225113,1.11,32.27398861,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.8548327,9.34199183,11.54,6.8,20.82,1.61,12.57,airport2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
78,airport 2c,1.048,32.22,1.13,288.2784186,1.64,4.770243095,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.4721005,3.586474503,4.92,5.27,10.91,1.23,13.8,airport2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
79,airport 3a,1.011,2.13,1.56,398.204445,1.59,1.051107064,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.2220602,4.138060561,5.42,5.59,13.13,2.05,12.37,airport3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
80,airport 3b,1.022,0.82,1.34,340.8765412,1.35,2.204158372,Long-duration,Low-intensity,Moderate,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.1917095,5.045830561,6.6,5.21,18.07,2.41,13.49,airport3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
81,airport 3c,1.014,1.92,1.54,392.4643551,1.57,1.372263438,Long-duration,Low-intensity,Moderate,,0.115274386,0.116856254,17.99586312,116.856254,NA,NA,NA,NA,NA,17.99586312,140.0072637,4.315248901,5.82,5.5,15.21,2.34,13.3,airport3,0.011510005,NA,0.027532239,0.106497091,LOD–LOQ,NA,>=LOQ,>=LOQ,FALSE,FALSE,TRUE,TRUE,NA,NA,0.027532239,0.106497091,2,FALSE,PCa+POCC,0.011671145,11.67114507,1.797356341,1.797356341,NA,NA,NA,NA,0.02791769,27.91769035,4.299324313,4.299324313,0.10798805,107.9880503,16.63015974,16.63015974,9.987608425,NA,23.89062578,92.41101488,126.2892491,TRUE,0.147576886,22.7268404,22.7268404,7.90851834,7.90851834,NA,NA,18.91738684,18.91738684,73.17409482,73.17409482
82,airport 4a,1.025,29.07,1.02,260.2754498,1.43,2.468365817,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.0445621,10.27311457,12.82,6.39,27.73,2.83,12.08,airport4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
83,airport 4b,1.026,33.22,0.92,235.2440062,1.37,2.625356507,Long-duration,High-intensity,Strong,,0.924845448,0.949125938,87.3195863,949.125938,NA,NA,NA,NA,NA,87.3195863,256.3462743,13.18147301,15.82,6.88,28.33,2.61,11.52,airport4,0.057133099,NA,0.192421799,0.347546269,>=LOQ,NA,>=LOQ,>=LOQ,TRUE,FALSE,TRUE,TRUE,0.057133099,NA,0.192421799,0.347546269,3,FALSE,PPa+PCa+POCC,0.05861856,58.61855957,5.392907481,5.392907481,NA,NA,NA,NA,0.197424766,197.4247658,18.16307845,18.16307845,0.356582472,356.582472,32.80558742,32.80558742,6.176057068,NA,20.80069229,37.5695635,64.54631286,FALSE,0.612625797,56.36157336,56.36157336,9.56841188,9.56841188,NA,NA,32.22599614,32.22599614,58.20559198,58.20559198
84,airport 4c,1.011,23.44,1.09,276.9389744,1.41,1.108917789,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.5505358,9.458683307,10.81,7.49,12.28,1.33,10.88,airport4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
85,airport 5a,1.017,36.19,0.94,238.7457797,1.46,1.698132744,Long-duration,High-intensity,Strong,,0.725706003,0.738029455,69.37476877,738.029455,NA,NA,NA,NA,NA,69.37476877,327.8876934,16.6128795,19.92,8.1,14.32,1.34,14.22,airport5,0.08715517,NA,0.438264835,0.31500372,>=LOQ,NA,>=LOQ,>=LOQ,TRUE,FALSE,TRUE,TRUE,0.08715517,NA,0.438264835,0.31500372,3,FALSE,PPa+PCa+POCC,0.088636808,88.63680789,8.331859942,8.331859942,NA,NA,NA,NA,0.445715337,445.7153372,41.8972417,41.8972417,0.320358783,320.3587832,30.11372562,30.11372562,12.00992823,NA,60.39262175,43.40731675,115.8098667,TRUE,0.854710928,80.34282726,80.34282726,10.3703843,10.3703843,NA,NA,52.14807983,52.14807983,37.48153588,37.48153588
86,airport 5b,1.034,11.45,1.17,298.6411695,1.32,3.411730032,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591.5472141,23.96046474,26.24,7.9,26.42,3.09,15.67,airport5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
87,airport 5c,1.042,39.6,0.95,243.6178169,1.56,4.171362825,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.632536,20.19057,21.97,8.35,21.22,2.03,17.13,airport5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
88,airport 6a,1.005,2.54,1.52,388.4346275,1.56,0.464781553,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.2902572,3.68371938,4.49,6.51,7.16,1.09,11.14,airport6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
89,airport 6b,1.004,0.6,1.56,397.430247,1.57,0.427685867,Long-duration,High-intensity,Strong,,0.548993171,0.551341138,86.00921753,551.341138,NA,NA,NA,NA,NA,86.00921753,148.743693,4.527236111,5.6,6.89,7.05,1.1,11.73,airport6,0.13011095,NA,0.143897123,0.074652254,>=LOQ,NA,>=LOQ,>=LOQ,TRUE,FALSE,TRUE,TRUE,0.13011095,NA,0.143897123,0.074652254,3,FALSE,PPa+PCa+POCC,0.130631394,130.6313938,20.37849743,20.37849743,NA,NA,NA,NA,0.144472711,144.4727115,22.53774299,22.53774299,0.074950863,74.95086302,11.69233463,11.69233463,23.69338778,NA,26.20386935,13.5942809,63.49153803,FALSE,0.350054968,54.60857506,54.60857506,37.31739459,37.31739459,NA,NA,41.27143579,41.27143579,21.41116962,21.41116962
90,airport 6c,1.011,5.16,1.44,366.2124651,1.51,1.118895529,Long-duration,High-intensity,Strong,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.2108835,6.216803097,7.8,6.86,11.27,1.62,11.49,airport6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
